riding_code,current_party,current_projection,date
59011,LPC,LPC likely,2021-08-30
59012,LPC,LPC leaning,2021-08-30
59013,CPC,CPC safe,2021-08-30
59014,CPC,CPC likely,2021-08-30
59015,CPC,CPC leaning,2021-08-30
59016,CPC,CPC safe,2021-08-30
59017,CPC,CPC likely,2021-08-30
59018,Tos,Toss up CPC/NDP/GPC,2021-08-30
59019,NDP,NDP safe,2021-08-30
59020,CPC,CPC safe,2021-08-30
59021,LPC,LPC safe,2021-08-30
59022,CPC,CPC likely,2021-08-30
59023,CPC,CPC leaning,2021-08-30
59024,CPC,CPC safe,2021-08-30
59025,CPC,CPC safe,2021-08-30
59026,NDP,NDP safe,2021-08-30
59027,GPC,GPC safe,2021-08-30
59028,NDP,NDP safe,2021-08-30
59029,NDP,NDP likely,2021-08-30
59030,CPC,CPC likely,2021-08-30
59031,CPC,CPC likely,2021-08-30
59032,LPC,LPC likely,2021-08-30
59033,LPC,LPC safe,2021-08-30
59034,LPC,LPC safe,2021-08-30
59035,NDP,NDP safe,2021-08-30
59036,Tos,Toss up LPC/CPC,2021-08-30
59037,NDP,NDP likely,2021-08-30
59038,NDP,NDP safe,2021-08-30
59039,LPC,LPC safe,2021-08-30
59040,LPC,LPC likely,2021-08-30
59041,NDP,NDP safe,2021-08-30
59042,CPC,CPC leaning,2021-08-30
60001,Tos,Toss up LPC/CPC/NDP,2021-08-30
61001,Tos,Toss up LPC/NDP,2021-08-30
62001,NDP,NDP leaning,2021-08-30
